,rule,mean_transient,var_transient,mean_period,var_period,m_attractors,derrida_coeff
0,0,0.009160701961929925,-0.9908392980380707,0.0,,0.0,0.0
1,1,0.04804783813784044,-0.226965151608884,2.0816681711721685e-17,,0.724987010253276,0.375
2,2,0.052098764386049955,-0.406275644157274,0.2251237367654745,0.2503085095376091,0.3165018546912021,0.375
3,3,0.09554081617721434,-0.09211126535198941,0.2547910379711713,0.1918333230594416,0.5575568804996256,0.5
4,4,0.06596409611722823,-0.23798576009751354,0.0,,0.6960501437852589,0.375
5,5,0.06960808458812186,-0.08411635370863818,0.044866551175286366,-0.273236033726665,0.8014090105279541,0.5
6,6,0.16539742099522853,0.29967570184037173,0.2779294859629314,0.20911361477220963,0.3866669131445321,0.75
7,7,0.10189418264205302,0.11142794909809708,0.32337237765020915,0.6045868473331779,0.3201006434085924,0.625
8,8,0.04017774482717365,-0.29022813983242157,0.0,,0.0,0.375
9,9,0.25620708737366393,0.4513512834090692,0.2694985458787255,0.5581418253377789,0.26867027659417553,0.75
10,10,0.07387736485900465,-0.23660435443894987,0.21662050373287153,0.1181829853863068,0.4728977769691746,0.5
11,11,0.19521316905570024,0.26619471520563476,0.2276606688855587,0.2723467119021013,0.4559140395399604,0.625
12,12,0.06596409611722823,-0.23798576009751354,0.0,,0.6960501437852589,0.5
13,13,0.1643094120613396,0.1936295994062223,-0.026842073275985562,-0.33558502437832405,0.37088987962363984,0.625
14,14,0.2823324137271294,0.32610921669625176,0.23153162444699785,0.16126004979822608,0.4318697821843264,0.625
15,15,,,0.20271926238527588,-0.1768026029556461,0.7972807376147247,0.5
16,16,0.052098764386049955,-0.406275644157274,0.2251237367654745,0.2503085095376091,0.3165018546912021,0.375
17,17,0.09554081617721434,-0.09211126535198941,0.2547910379711713,0.1918333230594416,0.5575568804996256,0.5
18,18,0.21552910190819857,0.4229626449028545,0.18348383721893607,0.643791223474129,0.44099072481035506,0.75
19,19,0.05086646763171292,-0.07819608695926751,2.0816681711721685e-17,,0.724987010253276,0.625
20,20,0.16539742099522853,0.29967570184037173,0.2779294859629314,0.2091136147722096,0.3866669131445321,0.75
21,21,0.10189418264205302,0.11142794909809708,0.32337237765020915,0.6045868473331779,0.3201006434085924,0.625
22,22,0.26846582792064955,0.5012328364465455,0.28134993977568934,0.4954295628906329,0.3286385789895744,1.125
23,23,0.10104543125405621,0.10638463953971655,0.009849870051071727,-0.23578166877275236,0.7028371660998799,0.75
24,24,0.08515309894908125,-0.06107870144122041,0.2251237367654745,0.2503085095376091,0.3165018546912021,0.75
25,25,0.3108331800617138,0.43417306414567636,0.2526611042160457,0.5687596209562882,0.31073800658651424,0.875
26,26,0.23056964235460273,0.39512207723521997,0.3345083565584799,0.36308061833002214,0.5555222252737688,0.875
27,27,inf,inf,0.2372453178721792,0.0874704513325138,0.550845926950936,0.75
28,28,0.21308990830205338,0.21162501086233454,0.0369944005296477,-0.3031573441579114,0.5499084980126104,0.875
29,29,inf,inf,0.0065510468129571925,-0.32853074169912366,0.8583854159388227,0.75
30,30,0.5591259045381175,1.1274363021329092,0.6467835276702376,1.4264544093424585,0.25187690323363826,1.0
31,31,0.10189418264205302,0.11142794909809708,0.32337237765020915,0.6045868473331779,0.3201006434085924,0.625
32,32,0.07454674161902075,0.06610985794719548,0.008999423088017792,-4.163336342344337e-17,0.015384615384615396,0.375
33,33,0.11810748642773966,0.10764393482842019,2.0816681711721685e-17,,0.7126870361509515,0.75
34,34,0.06596409611722823,-0.23798576009751354,0.22743693890874328,0.13968044465949764,0.4686132048765156,0.5
35,35,0.26459194966952143,0.39650939403429764,0.26520222997118403,0.2715802626499541,0.5318817203201416,0.625
36,36,0.09895391614855086,-0.070907379386041,0.0,,0.5416255914566767,0.75
37,37,0.2823644590371069,0.4823886626461389,0.02973453959242543,0.2976299235516168,0.5551052414343031,0.875
38,38,0.16657604018089092,0.021610509818170556,0.21662783257537857,0.019159136416389628,0.5325575758258108,0.875
39,39,inf,inf,0.2372453178721792,0.0874704513325138,0.550845926950936,0.75
40,40,0.15287160935273034,0.17152806682846528,0.2168777760680538,0.4904085069724809,0.15401210355558606,0.75
41,41,0.41712589305818104,0.6777548688679083,0.255513779195488,0.8505123354129186,0.2765132032751602,1.125
42,42,0.14156543716242326,0.01718832462972186,0.2095579349777299,-0.0331864210757747,0.6660649524895694,0.625
43,43,inf,inf,0.2098475638356442,0.3144072363574749,0.5038941275644979,0.75
44,44,0.17900937463538122,0.09579679828825141,-0.017227995666287934,-0.22223760296512213,0.5304851858335824,0.875
45,45,,,0.613646983063501,1.481909161278761,0.3705575650939056,1.0
46,46,0.09138587653313127,-0.047682924662017276,0.2251237367654745,0.2503085095376091,0.3165018546912021,0.75
47,47,0.19521316905570024,0.26619471520563476,0.2276606688855587,0.2723467119021013,0.4559140395399604,0.625
48,48,0.06596409611722823,-0.23798576009751354,0.22743693890874328,0.13968044465949764,0.4686132048765156,0.5
49,49,0.26459194966952143,0.39650939403429764,0.26520222997118403,0.2715802626499541,0.5318817203201416,0.625
50,50,0.19226565274489738,0.10883973886056687,0.014212040593022852,-0.625146984874724,0.6554502934396409,0.625
51,51,,,2.0816681711721685e-17,,1.0000000000000004,0.5
52,52,0.16657604018089092,0.021610509818170556,0.21662783257537857,0.019159136416389614,0.5325575758258108,0.875
53,53,inf,inf,0.2372453178721792,0.0874704513325138,0.550845926950936,0.75
54,54,0.2585871994394034,0.4552214490329298,0.26910519287430223,0.9112858388982087,0.4679176442010129,1.0
55,55,0.05086646763171292,-0.07819608695926751,2.0816681711721685e-17,,0.724987010253276,0.625
56,56,0.226343955698235,0.2752750568044264,0.21762485348657334,0.16596522306074352,0.445017884703457,0.875
57,57,inf,inf,0.1944455717904171,0.5586623207792598,0.19381125135321997,1.0
58,58,0.2411116639284545,0.33155443247536787,0.257365089505564,0.5092969205125386,0.22821676812429265,0.75
59,59,0.26459194966952143,0.39650939403429764,0.26520222997118403,0.27158026264995416,0.5318817203201416,0.625
60,60,0.08932448950082528,0.042641614937207396,0.2545104511536078,0.21690650957674287,0.39603899939584314,1.0
61,61,0.3108331800617138,0.43417306414567636,0.2526611042160457,0.5687596209562882,0.31073800658651424,0.875
62,62,0.3907117227954644,0.6248163053379086,0.018472541155211714,0.21934898813334003,0.6606926135023912,0.875
63,63,0.09554081617721434,-0.09211126535198941,0.2547910379711713,0.1918333230594416,0.5575568804996256,0.5
64,64,0.04017774482717365,-0.29022813983242157,0.0,,0.0,0.375
65,65,0.25620708737366393,0.4513512834090692,0.2694985458787255,0.5581418253377789,0.26867027659417553,0.75
66,66,0.08515309894908125,-0.06107870144122041,0.2251237367654745,0.2503085095376091,0.3165018546912021,0.75
67,67,0.3108331800617138,0.43417306414567636,0.2526611042160457,0.5687596209562882,0.31073800658651424,0.875
68,68,0.06596409611722823,-0.23798576009751354,0.0,,0.6960501437852589,0.5
69,69,0.1643094120613396,0.1936295994062223,-0.026842073275985562,-0.33558502437832405,0.37088987962363984,0.625
70,70,0.21308990830205338,0.21162501086233454,0.0369944005296477,-0.3031573441579114,0.5499084980126104,0.875
71,71,inf,inf,0.0065510468129571925,-0.32853074169912366,0.8583854159388227,0.75
72,72,0.09447098296794841,-0.08164224929175626,0.0,,0.5416255914566767,0.75
73,73,0.25906229397920233,0.4605196375975725,0.14613661097379158,0.5990926222681722,0.625926460093221,1.125
74,74,0.24109711075763002,0.27156332453675336,0.24684170203184064,0.3496045933927258,0.393061130283456,0.875
75,75,,,0.613646983063501,1.481909161278761,0.3705575650939056,1.0
76,76,0.14156543716242326,0.01718832462972186,0.0,,0.8756228874672992,0.625
77,77,inf,inf,-0.014212040593022817,-0.6535710660607696,0.6696623340326638,0.75
78,78,0.1545466302933745,0.1864152038073817,0.0,,0.37088987962363984,0.75
79,79,0.1643094120613396,0.1936295994062223,-0.026842073275985562,-0.33558502437832405,0.37088987962363984,0.625
80,80,0.07387736485900465,-0.23660435443894987,0.21662050373287153,0.1181829853863068,0.4728977769691746,0.5
81,81,0.19521316905570024,0.26619471520563476,0.2276606688855587,0.2723467119021013,0.4559140395399604,0.625
82,82,0.23056964235460273,0.39512207723521997,0.3345083565584799,0.36308061833002214,0.5555222252737688,0.875
83,83,inf,inf,0.2372453178721792,0.0874704513325138,0.550845926950936,0.75
84,84,0.2823324137271294,0.32610921669625176,0.23153162444699785,0.16126004979822608,0.4318697821843264,0.625
85,85,,,0.20271926238527588,-0.1768026029556461,0.7972807376147247,0.5
86,86,0.5591259045381175,1.1274363021329092,0.6467835276702376,1.4264544093424585,0.25187690323363826,1.0
87,87,0.10189418264205302,0.11142794909809708,0.32337237765020915,0.6045868473331779,0.3201006434085924,0.625
88,88,0.24109711075763002,0.27156332453675336,0.24684170203184064,0.3496045933927258,0.393061130283456,0.875
89,89,,,0.613646983063501,1.481909161278761,0.3705575650939056,1.0
90,90,0.0742910413366028,0.009912077465820152,0.2448917249579475,0.26666989139654274,0.4056577255915034,1.0
91,91,0.2823644590371069,0.4823886626461389,0.02973453959242543,0.2976299235516168,0.5551052414343031,0.875
92,92,0.1545466302933745,0.1864152038073817,0.0,,0.37088987962363984,0.75
93,93,0.1643094120613396,0.1936295994062223,-0.026842073275985562,-0.33558502437832405,0.37088987962363984,0.625
94,94,0.2099258309477789,0.3457369768761073,0.09507158220952969,0.25509206867172396,0.6035375245175068,0.875
95,95,0.06960808458812186,-0.08411635370863818,0.044866551175286366,-0.273236033726665,0.8014090105279541,0.5
96,96,0.15287160935273034,0.17152806682846528,0.2168777760680538,0.4904085069724809,0.15401210355558606,0.75
97,97,0.41712589305818104,0.6777548688679083,0.255513779195488,0.8505123354129186,0.2765132032751602,1.125
98,98,0.226343955698235,0.2752750568044264,0.21762485348657334,0.16596522306074346,0.445017884703457,0.875
99,99,inf,inf,0.1944455717904171,0.5586623207792598,0.19381125135321997,1.0
100,100,0.17900937463538122,0.09579679828825141,-0.017227995666287934,-0.22223760296512213,0.5304851858335824,0.875
101,101,,,0.613646983063501,1.481909161278761,0.3705575650939056,1.0
102,102,0.08932448950082528,0.042641614937207396,0.2545104511536078,0.21690650957674287,0.39603899939584314,1.0
103,103,0.3108331800617138,0.43417306414567636,0.2526611042160457,0.5687596209562882,0.31073800658651424,0.875
104,104,0.15931175083877278,0.14631018775907148,-0.013315059745766558,-0.13589820227001814,0.4716699896508124,1.125
105,105,,,0.24075822662068647,0.18809289112807037,0.746054960192501,1.5
106,106,0.6686508487734417,1.2310857059107083,0.37647395175247034,1.2382462724252794,0.44844246460678505,1.0
107,107,0.41712589305818104,0.6777548688679083,0.255513779195488,0.8505123354129186,0.2765132032751602,1.125
108,108,0.12126007234709377,-0.011573703296442434,0.04460196098953827,0.04506747542245765,0.7924459374929772,1.0
109,109,0.25906229397920233,0.4605196375975725,0.14613661097379158,0.5990926222681722,0.625926460093221,1.125
110,110,0.33477196408480864,0.6862052392029562,0.46439233400880775,1.0792675663770293,0.2247743048644404,0.875
111,111,0.25620708737366393,0.4513512834090692,0.2694985458787255,0.5581418253377789,0.26867027659417553,0.75
112,112,0.14156543716242326,0.01718832462972186,0.2095579349777299,-0.0331864210757747,0.6660649524895694,0.625
113,113,inf,inf,0.2098475638356442,0.3144072363574749,0.5038941275644979,0.75
114,114,0.2411116639284545,0.33155443247536787,0.257365089505564,0.5092969205125386,0.22821676812429265,0.75
115,115,0.26459194966952143,0.39650939403429764,0.26520222997118403,0.27158026264995416,0.5318817203201416,0.625
116,116,0.09138587653313127,-0.047682924662017276,0.2251237367654745,0.2503085095376091,0.3165018546912021,0.75
117,117,0.19521316905570024,0.26619471520563476,0.2276606688855587,0.2723467119021013,0.4559140395399604,0.625
118,118,0.3907117227954644,0.6248163053379086,0.018472541155211714,0.21934898813334003,0.6606926135023912,0.875
119,119,0.09554081617721434,-0.09211126535198941,0.2547910379711713,0.1918333230594416,0.5575568804996256,0.5
120,120,0.6686508487734417,1.2310857059107083,0.37647395175247034,1.2382462724252792,0.44844246460678505,1.0
121,121,0.41712589305818104,0.6777548688679083,0.255513779195488,0.8505123354129187,0.2765132032751602,1.125
122,122,0.22891193490721995,0.34154154725848146,0.18043225749905512,0.6523781146644125,0.4267728023447568,0.875
123,123,0.11810748642773966,0.10764393482842019,2.0816681711721685e-17,,0.7126870361509515,0.75
124,124,0.33477196408480864,0.6862052392029562,0.46439233400880775,1.0792675663770293,0.2247743048644404,0.875
125,125,0.25620708737366393,0.4513512834090692,0.2694985458787255,0.5581418253377789,0.26867027659417553,0.75
126,126,0.19709383623322163,0.3916317914774127,0.18348383721893607,0.643791223474129,0.44099072481035506,0.75
127,127,0.04804783813784044,-0.226965151608884,2.0816681711721685e-17,,0.724987010253276,0.375
128,128,0.08616126342894125,0.13214896368887696,0.0,,2.0816681711721685e-17,0.375
129,129,0.19709383623322163,0.3916317914774127,0.18348383721893607,0.643791223474129,0.44099072481035506,0.75
130,130,0.1310075251833508,0.11243063740766385,0.24908152769023212,0.3123642699643505,0.2697684586030401,0.75
131,131,0.3907117227954644,0.6248163053379086,0.018472541155211714,0.21934898813334003,0.6606926135023912,0.875
132,132,0.1344438281817875,0.11153128115245659,0.0,,0.6779757351747211,0.75
133,133,0.2099258309477789,0.3457369768761073,0.09507158220952969,0.25509206867172396,0.6035375245175068,0.875
134,134,0.21618550986373522,0.2859689153619418,0.293243728558821,0.26204563161801986,0.3355648363144696,1.125
135,135,0.5591259045381175,1.1274363021329092,0.6467835276702376,1.4264544093424585,0.25187690323363826,1.0
136,136,0.10467895519803479,0.13895283494543642,0.0,,2.0816681711721685e-17,0.5
137,137,0.33477196408480864,0.6862052392029562,0.46439233400880775,1.0792675663770293,0.2247743048644404,0.875
138,138,0.09554081617721434,-0.09211126535198941,0.23487746327190012,0.026856456777993636,0.5774704551988968,0.625
139,139,0.09138587653313127,-0.047682924662017276,0.2251237367654745,0.2503085095376091,0.3165018546912021,0.75
140,140,0.16693474960870638,0.19754549591202458,0.0,,0.6779757351747211,0.625
141,141,0.1545466302933745,0.1864152038073817,0.0,,0.37088987962363984,0.75
142,142,inf,inf,0.23585716111044946,0.16176571803969064,0.4778845302896926,0.75
143,143,0.2823324137271294,0.32610921669625176,0.23153162444699785,0.16126004979822608,0.4318697821843264,0.625
144,144,0.1310075251833508,0.11243063740766385,0.24908152769023212,0.3123642699643505,0.2697684586030401,0.75
145,145,0.3907117227954644,0.6248163053379086,0.018472541155211714,0.21934898813334003,0.6606926135023912,0.875
146,146,0.21674800894400453,0.33201606417942753,0.18915630860854987,0.6070373782525091,0.3844535574059864,1.125
147,147,0.2585871994394034,0.4552214490329298,0.26910519287430223,0.9112858388982087,0.4679176442010129,1.0
148,148,0.21618550986373522,0.2859689153619418,0.293243728558821,0.26204563161801986,0.3355648363144696,1.125
149,149,0.5591259045381175,1.1274363021329092,0.6467835276702376,1.4264544093424585,0.25187690323363826,1.0
150,150,,,0.2708307492674686,0.22762115925896384,0.7159824375457189,1.5
151,151,0.26846582792064955,0.5012328364465455,0.28134993977568934,0.4954295628906329,0.3286385789895744,1.125
152,152,0.1579210094898808,0.1670432691899817,0.24908152769023212,0.3123642699643505,0.2697684586030401,0.875
153,153,0.08932448950082528,0.042641614937207396,0.2545104511536078,0.21690650957674287,0.39603899939584314,1.0
154,154,,,0.2885071147908501,0.23798987617987982,0.7310127254584337,1.0
155,155,0.16657604018089092,0.021610509818170556,0.21662783257537857,0.019159136416389614,0.5325575758258108,0.875
156,156,inf,inf,0.044128138508557374,-0.2912603423790839,0.5224873020296922,1.0
157,157,0.21308990830205338,0.21162501086233454,0.0369944005296477,-0.3031573441579114,0.5499084980126104,0.875
158,158,0.21618550986373522,0.2859689153619418,0.293243728558821,0.26204563161801986,0.3355648363144696,1.125
159,159,0.16539742099522853,0.29967570184037173,0.2779294859629314,0.2091136147722096,0.3866669131445321,0.75
160,160,0.1391763608010672,0.2088382607067707,0.0063851922965976,-4.5102810375396984e-17,0.008999423088017816,0.5
161,161,0.22891193490721995,0.34154154725848146,0.18043225749905512,0.6523781146644125,0.4267728023447568,0.875
162,162,0.1344438281817875,0.11153128115245659,0.24984939642578274,0.1832638396234181,0.42812633874893846,0.625
163,163,0.2411116639284545,0.33155443247536787,0.257365089505564,0.5092969205125386,0.22821676812429265,0.75
164,164,0.1882978340580969,0.2115540730504354,0.011877103398945862,0.12974576137764152,0.5163837909007332,0.875
165,165,0.0742910413366028,0.009912077465820152,0.2448917249579475,0.26666989139654274,0.4056577255915034,1.0
166,166,,,0.2885071147908501,0.23798987617987982,0.7310127254584337,1.0
167,167,0.23056964235460273,0.39512207723521997,0.3345083565584799,0.36308061833002214,0.5555222252737688,0.875
168,168,0.259851042803815,0.3206002533235553,0.24984939642578274,0.18326383962341808,0.42812633874893846,0.625
169,169,0.6686508487734417,1.2310857059107083,0.37647395175247034,1.2382462724252792,0.44844246460678505,1.0
170,170,,,0.21810387776989124,-0.14603337218641538,0.7818961222301094,0.5
171,171,0.14156543716242326,0.01718832462972186,0.2095579349777299,-0.0331864210757747,0.6660649524895694,0.625
172,172,inf,inf,0.03526385591636313,0.31084990487631614,0.5063617355403136,0.75
173,173,0.24109711075763002,0.27156332453675336,0.24684170203184064,0.3496045933927258,0.393061130283456,0.875
174,174,0.09554081617721434,-0.09211126535198941,0.23487746327190012,0.02685645677799363,0.5774704551988968,0.625
175,175,0.07387736485900465,-0.23660435443894987,0.21662050373287153,0.1181829853863068,0.4728977769691746,0.5
176,176,0.1344438281817875,0.11153128115245659,0.24984939642578274,0.1832638396234181,0.42812633874893846,0.625
177,177,0.2411116639284545,0.33155443247536787,0.257365089505564,0.5092969205125386,0.22821676812429265,0.75
178,178,inf,inf,0.024317779393853697,-0.5765114260870166,0.6311325140457873,0.75
179,179,0.19226565274489738,0.10883973886056687,0.014212040593022852,-0.625146984874724,0.6554502934396409,0.625
180,180,,,0.2885071147908501,0.23798987617987985,0.7310127254584337,1.0
181,181,0.23056964235460273,0.39512207723521997,0.3345083565584799,0.36308061833002214,0.5555222252737688,0.875
182,182,0.21674800894400453,0.33201606417942753,0.18915630860854987,0.6070373782525091,0.3844535574059864,1.125
183,183,0.21552910190819857,0.4229626449028545,0.18348383721893607,0.643791223474129,0.44099072481035506,0.75
184,184,inf,inf,0.22558092297241816,0.12341218204941092,0.477191213859743,0.75
185,185,0.226343955698235,0.2752750568044264,0.21762485348657334,0.16596522306074346,0.445017884703457,0.875
186,186,0.1344438281817875,0.11153128115245659,0.24984939642578274,0.18326383962341808,0.42812633874893846,0.625
187,187,0.06596409611722823,-0.23798576009751354,0.22743693890874328,0.13968044465949764,0.4686132048765156,0.5
188,188,0.1579210094898808,0.1670432691899817,0.24908152769023212,0.3123642699643505,0.2697684586030401,0.875
189,189,0.08515309894908125,-0.06107870144122041,0.2251237367654745,0.2503085095376091,0.3165018546912021,0.75
190,190,0.1310075251833508,0.11243063740766385,0.24908152769023212,0.31236426996435046,0.2697684586030401,0.75
191,191,0.052098764386049955,-0.406275644157274,0.2251237367654745,0.2503085095376091,0.3165018546912021,0.375
192,192,0.10467895519803479,0.13895283494543642,0.0,,2.0816681711721685e-17,0.5
193,193,0.33477196408480864,0.6862052392029562,0.46439233400880775,1.0792675663770293,0.2247743048644404,0.875
194,194,0.1579210094898808,0.1670432691899817,0.24908152769023212,0.3123642699643505,0.2697684586030401,0.875
195,195,0.08932448950082528,0.042641614937207396,0.2545104511536078,0.21690650957674287,0.39603899939584314,1.0
196,196,0.16693474960870638,0.19754549591202458,0.0,,0.6779757351747211,0.625
197,197,0.1545466302933745,0.1864152038073817,0.0,,0.37088987962363984,0.75
198,198,inf,inf,0.044128138508557374,-0.2912603423790839,0.5224873020296922,1.0
199,199,0.21308990830205338,0.21162501086233454,0.0369944005296477,-0.3031573441579114,0.5499084980126104,0.875
200,200,0.09554081617721434,-0.09211126535198941,0.0,,0.8123479184707969,0.625
201,201,0.12126007234709377,-0.011573703296442434,0.04460196098953827,0.04506747542245765,0.7924459374929772,1.0
202,202,inf,inf,0.03526385591636313,0.31084990487631614,0.5063617355403136,0.75
203,203,0.17900937463538122,0.09579679828825141,-0.017227995666287934,-0.22223760296512213,0.5304851858335824,0.875
204,204,,,0.0,,1.0000000000000007,0.5
205,205,0.14156543716242326,0.01718832462972186,0.0,,0.8756228874672992,0.625
206,206,0.16693474960870638,0.19754549591202458,0.0,,0.6779757351747211,0.625
207,207,0.06596409611722823,-0.23798576009751354,0.0,,0.6960501437852589,0.5
208,208,0.09554081617721434,-0.09211126535198941,0.23487746327190012,0.026856456777993636,0.5774704551988968,0.625
209,209,0.09138587653313127,-0.047682924662017276,0.2251237367654745,0.2503085095376091,0.3165018546912021,0.75
210,210,,,0.2885071147908501,0.23798987617987982,0.7310127254584337,1.0
211,211,0.16657604018089092,0.021610509818170556,0.21662783257537857,0.019159136416389614,0.5325575758258108,0.875
212,212,inf,inf,0.23585716111044946,0.16176571803969064,0.4778845302896926,0.75
213,213,0.2823324137271294,0.32610921669625176,0.23153162444699785,0.16126004979822608,0.4318697821843264,0.625
214,214,0.21618550986373522,0.2859689153619418,0.293243728558821,0.26204563161801986,0.3355648363144696,1.125
215,215,0.16539742099522853,0.29967570184037173,0.2779294859629314,0.2091136147722096,0.3866669131445321,0.75
216,216,inf,inf,0.03526385591636313,0.31084990487631614,0.5063617355403136,0.75
217,217,0.17900937463538122,0.09579679828825141,-0.017227995666287934,-0.22223760296512213,0.5304851858335824,0.875
218,218,0.1882978340580969,0.2115540730504354,0.011877103398945862,0.12974576137764152,0.5163837909007332,0.875
219,219,0.09895391614855086,-0.070907379386041,0.0,,0.5416255914566767,0.75
220,220,0.16693474960870638,0.19754549591202458,0.0,,0.6779757351747211,0.625
221,221,0.06596409611722823,-0.23798576009751354,0.0,,0.6960501437852589,0.5
222,222,0.1344438281817875,0.11153128115245659,0.0,,0.6779757351747211,0.75
223,223,0.06596409611722823,-0.23798576009751354,0.0,,0.6960501437852589,0.375
224,224,0.259851042803815,0.3206002533235553,0.24984939642578274,0.18326383962341808,0.42812633874893846,0.625
225,225,0.6686508487734417,1.2310857059107083,0.37647395175247034,1.2382462724252792,0.44844246460678505,1.0
226,226,inf,inf,0.22558092297241816,0.1234121820494109,0.477191213859743,0.75
227,227,0.226343955698235,0.2752750568044264,0.21762485348657334,0.16596522306074346,0.445017884703457,0.875
228,228,inf,inf,0.03526385591636313,0.31084990487631614,0.5063617355403136,0.75
229,229,0.24109711075763002,0.27156332453675336,0.24684170203184064,0.3496045933927258,0.393061130283456,0.875
230,230,0.1579210094898808,0.1670432691899817,0.24908152769023212,0.3123642699643505,0.2697684586030401,0.875
231,231,0.08515309894908125,-0.06107870144122041,0.2251237367654745,0.2503085095376091,0.3165018546912021,0.75
232,232,0.10104543125405621,0.10638463953971655,-0.005763261047287015,-0.26706823066175234,0.7184502971982387,0.75
233,233,0.15931175083877278,0.14631018775907148,-0.013315059745766558,-0.13589820227001814,0.4716699896508124,1.125
234,234,0.259851042803815,0.3206002533235553,0.24984939642578274,0.1832638396234181,0.42812633874893846,0.625
235,235,0.15287160935273034,0.17152806682846528,0.2168777760680538,0.4904085069724809,0.15401210355558606,0.75
236,236,0.09554081617721434,-0.09211126535198941,0.0,,0.8123479184707969,0.625
237,237,0.09447098296794841,-0.08164224929175626,0.0,,0.5416255914566767,0.75
238,238,0.10467895519803479,0.13895283494543642,0.0,,2.0816681711721685e-17,0.5
239,239,0.04017774482717365,-0.29022813983242157,0.0,,0.0,0.375
240,240,,,0.21810387776989124,-0.14603337218641538,0.7818961222301094,0.5
241,241,0.14156543716242326,0.01718832462972186,0.2095579349777299,-0.0331864210757747,0.6660649524895694,0.625
242,242,0.1344438281817875,0.11153128115245659,0.24984939642578274,0.18326383962341808,0.42812633874893846,0.625
243,243,0.06596409611722823,-0.23798576009751354,0.22743693890874328,0.13968044465949764,0.4686132048765156,0.5
244,244,0.09554081617721434,-0.09211126535198941,0.23487746327190012,0.02685645677799363,0.5774704551988968,0.625
245,245,0.07387736485900465,-0.23660435443894987,0.21662050373287153,0.1181829853863068,0.4728977769691746,0.5
246,246,0.1310075251833508,0.11243063740766385,0.24908152769023212,0.31236426996435046,0.2697684586030401,0.75
247,247,0.052098764386049955,-0.406275644157274,0.2251237367654745,0.2503085095376091,0.3165018546912021,0.375
248,248,0.259851042803815,0.3206002533235553,0.24984939642578274,0.1832638396234181,0.42812633874893846,0.625
249,249,0.15287160935273034,0.17152806682846528,0.2168777760680538,0.4904085069724809,0.15401210355558606,0.75
250,250,0.1391763608010672,0.2088382607067707,0.0063851922965976,-4.5102810375396984e-17,0.008999423088017816,0.5
251,251,0.07454674161902075,0.06610985794719548,0.008999423088017792,-4.163336342344337e-17,0.015384615384615396,0.375
252,252,0.10467895519803479,0.13895283494543642,0.0,,2.0816681711721685e-17,0.5
253,253,0.04017774482717365,-0.29022813983242157,0.0,,0.0,0.375
254,254,0.08616126342894125,0.13214896368887696,0.0,,2.0816681711721685e-17,0.375
255,255,0.009160701961929925,-0.9908392980380707,0.0,,0.0,0.0
